"player","nation","pos","league","team","age","matches_played","matches_started","mins_played","played_90s","goals","assists","np_goals","pens_scored","pens_taken","yellows","reds","xG","npxG","xAG","prog_carries","prog_passes"
"Alexis Saelemaekers","BEL","DF,FW","Serie A","Roma","25","22","17","1,389",15.4,"7","3","7","0","0","4","0","2.5","2.5","2.6","39","53"
"Lazar Samardzic","SRB","MF","Serie A","Atalanta","22","31","7","1,169",13,"2","1","2","0","0","3","0","2.0","2.0","2.9","54","92"
"Antonio Sanabria","PAR","FW","Serie A","Torino","28","26","16","1,318",14.6,"2","1","2","0","1","2","0","2.9","2.1","0.5","6","18"
"Alexis Sánchez","CHI","FW","Serie A","Udinese","35","13","6","437",4.9,"0","0","0","0","0","0","0","0.8","0.8","0.2","2","19"
"Amin Sarr","SWE","FW","Serie A","Hellas Verona","23","32","25","1,907",21.2,"4","1","4","0","0","1","0","3.2","3.2","2.1","31","41"
"Razvan Sava","ROU","GK","Serie A","Udinese","22","12","12","1,080",12,"0","0","0","0","0","1","0","0.0","0.0","0.0","0","0"
"Nicolò Savona","ITA","DF","Serie A","Juventus","21","28","19","1,724",19.2,"2","1","2","0","0","5","0","0.5","0.5","1.2","35","59"
"Joël Schingtienne","BEL","DF","Serie A","Venezia","21","16","12","1,122",12.5,"0","0","0","0","0","2","0","0.0","0.0","0.1","5","28"
"Simone Scuffet","ITA","GK","Serie A","Cagliari","28","13","13","1,170",13,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Suat Serdar","GER","MF","Serie A","Hellas Verona","27","22","16","1,376",15.3,"2","1","2","0","0","4","1","1.9","1.9","1.0","18","56"
"Stephan El Shaarawy","ITA","DF,MF","Serie A","Roma","31","31","12","1,098",12.2,"3","4","3","0","0","2","0","2.7","2.7","1.2","42","49"
"Alen Sherri","ALB","GK","Serie A","Cagliari","26","7","7","621",6.9,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Eldor Shomurodov","UZB","FW,MF","Serie A","Roma","29","27","11","1,097",12.2,"4","4","4","0","0","1","0","4.7","4.7","1.3","19","21"
"Marco Silvestri","ITA","GK","Serie A","Empoli","33","5","5","450",5,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Giovanni Simeone","ARG","FW","Serie A","Napoli","29","30","1","419",4.7,"1","1","1","0","0","1","0","2.6","2.6","0.8","11","7"
"Łukasz Skorupski","POL","GK","Serie A","Bologna","33","27","27","2,364",26.3,"0","0","0","0","0","1","0","0.0","0.0","0.0","0","0"
"Ivan Smolčić","CRO","DF","Serie A","Como","23","9","7","630",7,"0","0","0","0","0","2","0","0.4","0.4","0.1","3","23"
"Simon Sohm","SUI","MF","Serie A","Parma","23","37","36","2,989",33.2,"4","0","4","0","0","6","0","3.1","3.1","2.1","69","140"
"Ola Solbakken","NOR","MF,FW","Serie A","Empoli","25","21","8","760",8.4,"0","0","0","0","0","2","0","0.8","0.8","0.4","18","20"
"Oumar Solet","FRA","DF","Serie A","Udinese","24","19","19","1,672",18.6,"1","2","1","0","0","3","1","0.8","0.8","1.2","20","65"
"Yann Sommer","SUI","GK","Serie A","Inter","35","32","32","2,880",32,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","1"
"Borna Sosa","CRO","DF","Serie A","Torino","26","19","14","1,181",13.1,"0","0","0","0","0","0","0","0.3","0.3","0.7","13","51"
"Riccardo Sottil","ITA","FW,MF","Serie A","Fiorentina","25","18","8","833",9.3,"1","1","1","0","0","1","0","0.9","0.9","0.9","71","18"
"Matìas Soulé","ARG","MF,DF","Serie A","Roma","21","27","22","1,781",19.8,"5","5","5","0","0","3","0","3.0","3.0","5.2","84","89"
"Leonardo Spinazzola","ITA","DF,FW","Serie A","Napoli","31","27","17","1,517",16.9,"1","1","1","0","0","1","0","0.7","0.7","3.5","83","88"
"Filip Stankovic","SRB","GK","Serie A","Venezia","22","16","16","1,367",15.2,"0","0","0","0","0","1","0","0.0","0.0","0.0","0","0"
"Gabriel Strefezza","BRA","FW,MF","Serie A","Como","27","37","32","2,619",29.1,"6","4","6","0","0","5","0","3.7","3.7","3.9","80","106"
"Tomáš Suslov","SVK","MF,FW","Serie A","Hellas Verona","22","31","27","2,080",23.1,"0","1","0","0","0","7","1","1.6","1.6","1.9","39","82"
"Zion Suzuki","JPN","GK","Serie A","Parma","21","37","37","3,314",36.8,"0","0","0","0","0","2","1","0.0","0.0","0.0","0","0"
"Marin Šverko","CRO","DF","Serie A","Venezia","26","16","12","1,117",12.4,"1","0","1","0","0","3","0","0.3","0.3","0.3","8","38"
"Mile Svilar","SRB","GK","Serie A","Roma","24","38","38","3,420",38,"0","0","0","0","0","1","0","0.0","0.0","0.0","0","2"
"Michael Svoboda","AUT","DF","Serie A","Venezia","25","16","15","1,314",14.6,"1","0","1","0","0","1","0","0.2","0.2","0.6","13","43"
"Adrien Tameze","CMR","MF,DF","Serie A","Torino","30","20","9","649",7.2,"0","0","0","0","0","3","0","0.4","0.4","0.8","16","23"
"Mehdi Taremi","IRN","FW","Serie A","Inter","32","25","7","807",9,"1","2","0","1","1","1","0","3.5","2.7","1.6","10","25"
"Nuno Tavares","POR","DF","Serie A","Lazio","24","23","22","1,686",18.7,"0","8","0","0","0","4","1","1.1","1.1","4.8","98","111"
"Loum Tchaouna","FRA","FW,MF","Serie A","Lazio","20","24","6","660",7.3,"1","0","1","0","0","4","1","2.5","2.5","0.6","22","20"
"Jackson Tchatchoua","CMR","DF,MF","Serie A","Hellas Verona","22","36","36","3,167",35.2,"2","3","2","0","0","7","1","1.6","1.6","2.8","88","72"
"Casper Tengstedt","DEN","FW","Serie A","Hellas Verona","24","25","20","1,517",16.9,"6","1","5","1","1","2","0","5.3","4.5","0.9","29","29"
"Filippo Terracciano","ITA","DF,MF","Serie A","Milan","21","13","6","539",6,"0","0","0","0","0","3","0","0.2","0.2","0.1","5","14"
"Florian Thauvin","FRA","FW,MF","Serie A","Udinese","31","25","24","1,956",21.7,"8","3","7","1","3","0","0","8.1","5.7","3.8","92","90"
"Malick Thiaw","GER","DF","Serie A","Milan","22","22","19","1,806",20.1,"0","0","0","0","0","2","0","0.6","0.6","0.1","12","89"
"Morten Thorsby","NOR","MF,FW","Serie A","Genoa","28","30","22","1,898",21.1,"0","1","0","0","0","6","0","2.8","2.8","2.1","24","58"
"Khéphren Thuram","FRA","MF","Serie A","Juventus","23","35","26","2,326",25.8,"4","5","4","0","0","5","0","3.5","3.5","3.6","74","123"
"Marcus Thuram","FRA","FW","Serie A","Inter","26","31","26","2,200",24.4,"14","4","14","0","0","1","0","9.9","9.9","4.4","62","53"
"Cheikh Tidiane Niasse","SEN","MF","Serie A","Hellas Verona","24","11","8","755",8.4,"0","0","0","0","0","4","0","0.4","0.4","0.1","5","25"
"Rafael Tolói","ITA","DF","Serie A","Atalanta","33","11","2","468",5.2,"0","0","0","0","0","1","0","0.1","0.1","0.2","5","26"
"Fikayo Tomori","ENG","DF","Serie A","Milan","26","22","19","1,593",17.7,"0","1","0","0","0","4","1","0.1","0.1","0.7","8","63"
"Souleymane Touré","FRA","DF","Serie A","Udinese","21","12","11","733",8.1,"1","0","1","0","0","2","2","0.4","0.4","0.0","6","26"
"Stefano Turati","ITA","GK","Serie A","Monza","22","30","30","2,676",29.7,"0","0","0","0","0","1","0","0.0","0.0","0.0","0","0"
"Kacper Urbanski","POL","MF","Serie A","Monza","19","8","6","500",5.6,"0","0","0","0","0","1","0","0.1","0.1","0.1","10","41"
"Lautaro Valenti","ARG","DF","Serie A","Parma","25","20","18","1,556",17.3,"1","0","1","0","0","6","1","0.2","0.2","0.2","3","28"
"Nicolás Valentini","ARG","DF","Serie A","Hellas Verona","23","14","13","1,129",12.5,"0","0","0","0","0","5","1","0.3","0.3","0.8","4","42"
"Emanuele Valeri","ITA","DF","Serie A","Parma","25","35","34","2,873",31.9,"2","6","1","1","1","1","0","1.8","1.0","4.7","79","93"
"Álex Valle","ESP","DF","Serie A","Como","20","15","12","1,030",11.4,"0","0","0","0","0","2","0","0.3","0.3","0.7","19","44"
"Ignace Van Der Brempt","BEL","DF","Serie A","Como","22","20","14","1,257",14,"0","1","0","0","0","3","0","0.5","0.5","0.5","19","42"
"Devis Vásquez","COL","GK","Serie A","Empoli","26","32","32","2,880",32,"0","0","0","0","0","2","0","0.0","0.0","0.0","0","0"
"Johan Vásquez","MEX","DF","Serie A","Genoa","25","36","34","3,041",33.8,"3","0","3","0","0","9","0","2.4","2.4","0.3","37","96"
"Matías Vecino","URU","MF","Serie A","Lazio","32","20","7","877",9.7,"2","3","2","0","0","7","0","2.3","2.3","2.4","4","29"
"Renato Veiga","POR","DF","Serie A","Juventus","21","13","12","1,093",12.1,"0","1","0","0","0","2","0","1.0","1.0","0.1","9","40"
"Samuele Vignato","ITA","MF","Serie A","Monza","20","17","3","470",5.2,"0","0","0","0","0","0","0","0.3","0.3","0.0","5","17"
"Nicolas Viola","ITA","FW,MF","Serie A","Cagliari","34","27","18","1,267",14.1,"3","1","3","0","0","2","0","2.2","2.2","1.9","21","46"
"Mattia Viti","ITA","DF","Serie A","Empoli","22","30","30","2,572",28.6,"1","0","1","0","0","3","0","0.8","0.8","0.2","17","86"
"Vitinha","POR","FW,MF","Serie A","Genoa","24","25","16","1,328",14.8,"2","3","2","0","0","2","0","1.6","1.6","3.3","38","19"
"Dušan Vlahović","SRB","FW","Serie A","Juventus","24","29","21","1,784",19.8,"10","4","6","4","4","3","0","12.3","9.2","1.3","27","22"
"Nikola Vlašić","CRO","MF,FW","Serie A","Torino","26","30","23","2,117",23.5,"5","4","3","2","2","0","0","3.4","1.8","2.4","53","94"
"Alessandro Vogliacco","ITA","DF","Serie A","Genoa","25","12","8","715",7.9,"2","0","2","0","0","3","0","1.3","1.3","0.0","9","26"
"Alessandro Vogliacco","ITA","DF","Serie A","Parma","25","10","10","772",8.6,"0","0","0","0","0","2","0","0.1","0.1","0.1","2","21"
"Mërgim Vojvoda","KVX","DF","Serie A","Torino","29","17","12","1,105",12.3,"0","0","0","0","0","4","0","0.4","0.4","0.4","18","64"
"Mërgim Vojvoda","KVX","DF","Serie A","Como","29","11","8","717",8,"1","2","1","0","0","2","0","0.2","0.2","2.0","16","43"
"Stefan de Vrij","NED","DF","Serie A","Inter","32","25","17","1,636",18.2,"3","0","3","0","0","2","0","1.1","1.1","0.0","11","76"
"Kyle Walker","ENG","DF","Serie A","Milan","34","11","7","659",7.3,"0","0","0","0","0","1","0","0.0","0.0","0.9","11","32"
"Sebastian Walukiewicz","POL","DF","Serie A","Torino","24","29","20","1,661",18.5,"0","0","0","0","0","6","0","0.4","0.4","0.3","25","80"
"Timothy Weah","USA","DF,FW","Serie A","Juventus","24","30","18","1,638",18.2,"5","2","5","0","0","4","0","3.4","3.4","1.6","45","56"
"John Yeboah","ECU","FW,MF","Serie A","Venezia","24","33","11","1,226",13.6,"1","1","1","0","0","6","0","3.0","3.0","1.9","50","42"
"Kenan Yıldız","TUR","FW,MF","Serie A","Juventus","19","35","28","2,402",26.7,"7","4","7","0","0","2","1","4.3","4.3","5.0","115","121"
"Mattia Zaccagni","ITA","FW","Serie A","Lazio","29","34","33","2,686",29.8,"8","6","6","2","2","10","0","6.4","4.9","4.6","91","114"
"Nicola Zalewski","POL","DF,FW","Serie A","Roma","22","12","4","533",5.9,"0","0","0","0","0","0","0","0.3","0.3","0.8","31","17"
"Nicola Zalewski","POL","DF,MF","Serie A","Inter","22","11","4","435",4.8,"1","1","1","0","0","4","0","0.2","0.2","1.7","29","18"
"Andre-Frank Zambo Anguissa","CMR","MF","Serie A","Napoli","28","35","32","2,852",31.7,"6","4","6","0","0","5","0","4.4","4.4","2.4","24","144"
"Francesco Zampano","ITA","DF","Serie A","Venezia","30","24","17","1,639",18.2,"1","2","1","0","0","5","0","1.0","1.0","0.8","42","41"
"Alessandro Zanoli","ITA","FW,DF","Serie A","Genoa","23","31","19","1,711",19,"1","0","1","0","0","3","0","0.4","0.4","1.6","65","27"
"Duván Zapata","COL","FW","Serie A","Torino","33","7","7","587",6.5,"3","0","3","0","0","1","0","3.4","3.4","0.5","6","7"
"Gabriele Zappa","ITA","DF","Serie A","Cagliari","24","37","35","3,060",34,"2","0","2","0","0","4","0","0.9","0.9","3.6","57","146"
"Davide Zappacosta","ITA","DF","Serie A","Atalanta","32","30","26","2,067",23,"4","2","4","0","0","3","0","2.2","2.2","2.1","67","107"
"Oier Zarraga","ESP","MF","Serie A","Udinese","25","22","9","896",10,"1","0","1","0","0","0","0","0.4","0.4","0.4","7","28"
"Jordan Zemura","ZIM","DF","Serie A","Udinese","24","23","13","1,415",15.7,"1","2","1","0","0","2","0","1.0","1.0","1.0","25","42"
"Alessio Zerbin","ITA","DF","Serie A","Venezia","25","18","17","1,518",16.9,"1","1","1","0","0","4","0","1.9","1.9","2.1","53","54"
"Piotr Zieliński","POL","MF","Serie A","Inter","30","26","8","980",10.9,"2","2","0","2","2","0","0","2.6","1.1","0.9","26","65"
"Nadir Zortea","ITA","DF,MF","Serie A","Cagliari","25","35","33","2,713",30.1,"6","2","6","0","0","2","0","3.1","3.1","2.4","69","63"
"Milan Đurić","BIH","FW","Serie A","Monza","34","18","13","1,270",14.1,"4","1","4","0","0","3","0","2.9","2.9","1.1","2","21"
"Yunis Abdelhamid","MAR","DF","Ligue 1","Saint-Étienne","36","16","11","1,033",11.5,"0","0","0","0","0","2","0","0.2","0.2","0.1","4","22"
"Himad Abdelli","ALG","MF,FW","Ligue 1","Angers","24","32","32","2,842",31.6,"6","1","3","3","4","4","0","6.4","3.2","3.2","107","207"
"Mohamed Abdelmoneim","EGY","DF","Ligue 1","Nice","25","12","10","855",9.5,"0","0","0","0","0","2","0","0.0","0.0","0.0","6","52"
"Ali Abdi","TUN","DF,MF","Ligue 1","Nice","30","25","17","1,393",15.5,"5","2","5","0","0","2","0","4.3","4.3","1.9","35","42"
"Matthis Abline","FRA","FW","Ligue 1","Nantes","21","34","33","2,768",30.8,"9","2","8","1","1","3","0","8.5","7.7","3.8","75","48"
"Abner","BRA","DF","Ligue 1","Lyon","24","19","12","1,090",12.1,"1","1","1","0","0","1","0","0.6","0.6","1.1","31","66"
"Zakaria Aboukhlal","MAR","MF,FW","Ligue 1","Toulouse","24","26","22","1,901",21.1,"7","2","6","1","2","4","0","10.2","8.6","1.6","34","22"
"Akor Adams","NGA","FW","Ligue 1","Montpellier","24","15","13","1,075",11.9,"3","1","3","0","0","2","0","4.3","4.3","1.0","11","6"
"Emmanuel Agbadou","CIV","DF","Ligue 1","Reims","27","14","14","1,260",14,"0","0","0","0","0","3","0","0.5","0.5","0.3","10","77"
"Ruben Aguilar","FRA","DF,MF","Ligue 1","Lens","31","16","13","1,124",12.5,"1","2","1","0","0","4","0","0.8","0.8","1.9","32","74"
"Jean-Eudes Aholou","CIV","MF","Ligue 1","Angers","30","26","26","1,959",21.8,"2","0","2","0","0","7","0","1.8","1.8","1.0","15","68"
"Ludovic Ajorque","FRA","FW","Ligue 1","Brest","30","31","29","2,495",27.7,"13","2","13","0","1","5","0","10.4","9.6","3.1","10","41"
"Ümit Akdag","ROU","DF","Ligue 1","Toulouse","20","9","6","500",5.6,"0","0","0","0","0","2","0","0.1","0.1","0.1","4","29"
"Sergio Akieme","ESP","DF","Ligue 1","Reims","26","30","29","2,523",28,"2","3","2","0","0","5","0","1.5","1.5","2.5","55","86"
"Maghnes Akliouche","FRA","FW,MF","Ligue 1","Monaco","22","32","27","2,406",26.7,"5","10","4","1","1","2","0","9.2","8.4","7.3","127","173"
"Clément Akpa","CIV","DF","Ligue 1","Auxerre","22","31","29","2,486",27.6,"0","1","0","0","0","7","0","0.3","0.3","0.9","27","74"
"Chuba Akpom","ENG","FW","Ligue 1","Lille","28","14","6","639",7.1,"3","1","2","1","2","0","0","5.0","3.4","0.5","6","7"
"Mohamed Ali Cho","FRA","FW,MF","Ligue 1","Nice","20","27","21","1,621",18,"3","4","3","0","0","2","0","4.0","4.0","4.0","81","59"
"Jim Allevinah","GAB","FW","Ligue 1","Angers","29","28","23","1,750",19.4,"1","3","1","0","0","3","0","4.2","4.2","2.5","57","48"
"Thiago Almada","ARG","MF,FW","Ligue 1","Lyon","23","16","9","951",10.6,"1","4","1","0","0","3","0","2.0","2.0","2.6","38","97"
"Jordan Amavi","FRA","DF","Ligue 1","Brest","30","11","8","790",8.8,"0","0","0","0","0","2","0","0.3","0.3","0.2","22","36"
"Kelvin Amian","FRA","DF","Ligue 1","Nantes","26","30","23","2,165",24.1,"1","0","1","0","0","5","0","1.0","1.0","0.8","32","73"
"Michael Amir Murillo","PAN","DF","Ligue 1","Marseille","28","30","27","2,437",27.1,"1","3","1","0","0","3","0","1.5","1.5","3.3","43","140"
"Mathis Amougou","FRA","MF","Ligue 1","Saint-Étienne","18","17","9","859",9.5,"0","0","0","0","0","2","0","0.5","0.5","0.4","8","36"
"Benjamin André","FRA","MF","Ligue 1","Lille","33","30","30","2,692",29.9,"0","3","0","0","0","12","0","1.4","1.4","1.9","29","209"
"Dennis Appiah","FRA","DF","Ligue 1","Saint-Étienne","32","29","22","2,128",23.6,"0","1","0","0","0","2","0","0.2","0.2","2.1","51","108"
"Carlens Arcus","HAI","DF","Ligue 1","Angers","28","28","25","2,047",22.7,"0","1","0","0","0","3","0","0.0","0.0","1.4","39","70"
"Hákon Arnar Haraldsson","ISL","MF,FW","Ligue 1","Lille","21","25","21","1,755",19.5,"5","3","5","0","0","3","0","3.8","3.8","2.8","52","102"
"Marco Asensio","ESP","FW,MF","Ligue 1","Paris S-G","28","12","8","618",6.9,"2","4","2","0","0","0","0","5.6","5.6","2.7","19","36"
"Lorenz Assignon","TOG","DF,MF","Ligue 1","Rennes","24","32","27","2,357",26.2,"3","4","3","0","0","9","0","2.2","2.2","3.5","98","116"
"Valentin Atangana Edoa","FRA","MF","Ligue 1","Reims","18","34","33","2,854",31.7,"1","0","1","0","0","7","0","2.5","2.5","1.1","41","93"
"Florian Ayé","FRA","FW","Ligue 1","Auxerre","27","26","4","575",6.4,"2","0","2","0","0","0","0","1.9","1.9","0.1","5","7"
"André Ayew","GHA","FW","Ligue 1","Le Havre","34","27","15","1,453",16.1,"4","1","4","0","0","2","0","4.3","4.3","0.2","5","18"
"Neil El Aynaoui","FRA","MF","Ligue 1","Lens","23","24","17","1,588",17.6,"8","1","5","3","3","4","0","4.0","1.6","2.0","11","75"
"Shavy Babicka","GAB","MF,FW","Ligue 1","Toulouse","24","30","11","1,186",13.2,"4","2","4","0","0","2","0","3.9","3.9","1.6","36","21"
"Juma Bah","SLE","DF","Ligue 1","Lens","18","10","8","686",7.6,"0","0","0","0","0","2","0","0.1","0.1","0.2","3","9"
"Theo Bair","CAN","FW","Ligue 1","Auxerre","24","29","11","939",10.4,"2","1","2","0","0","1","0","3.0","3.0","1.2","15","16"
"Mitchel Bakker","NED","FW,DF","Ligue 1","Lille","24","24","14","1,139",12.7,"3","2","3","0","0","3","1","3.0","3.0","2.7","43","57"
"Dilane Bakwa","FRA","MF,DF","Ligue 1","Strasbourg","21","30","29","2,497",27.7,"6","8","6","0","0","4","0","4.7","4.7","6.6","107","129"
"Leonardo Balerdi","ARG","DF","Ligue 1","Marseille","25","27","27","2,273",25.3,"0","0","0","0","0","9","1","0.9","0.9","0.7","13","105"
"Fodé Ballo-Touré","SEN","DF,MF","Ligue 1","Le Havre","27","10","9","589",6.5,"0","0","0","0","0","0","0","0.0","0.0","0.1","15","13"
"Folarin Balogun","USA","FW","Ligue 1","Monaco","23","13","7","615",6.8,"4","0","4","0","0","0","0","4.8","4.8","0.9","21","9"
"Abdoulaye Bamba","CIV","DF","Ligue 1","Angers","34","19","16","1,510",16.8,"0","0","0","0","0","2","0","0.1","0.1","0.3","1","16"
"Valentín Barco","ARG","MF,DF","Ligue 1","Strasbourg","20","14","14","1,157",12.9,"0","2","0","0","0","2","0","0.5","0.5","1.5","20","64"
"Bradley Barcola","FRA","FW","Ligue 1","Paris S-G","21","34","27","2,181",24.2,"14","10","14","0","0","2","0","13.4","13.4","10.1","137","96"
"Melvin Bard","FRA","DF,MF","Ligue 1","Nice","23","24","22","1,938",21.5,"2","1","2","0","0","4","2","2.2","2.2","1.9","53","88"
"Dylan Batubinsika","COD","DF","Ligue 1","Saint-Étienne","28","25","22","2,016",22.4,"1","0","1","0","0","3","1","0.8","0.8","0.2","11","51"
"Haris Belkebla","ALG","MF","Ligue 1","Angers","30","22","21","1,792",19.9,"0","1","0","0","0","1","0","0.1","0.1","0.9","8","69"
"Yassin Belkhdim","FRA","MF","Ligue 1","Angers","22","29","16","1,523",16.9,"1","1","1","0","0","4","0","0.8","0.8","0.6","17","37"
"Eliesse Ben Seghir","MAR","MF,FW","Ligue 1","Monaco","19","33","19","1,750",19.4,"6","3","4","2","2","0","0","5.5","4.1","5.2","85","122"
"Ismaël Bennacer","ALG","MF","Ligue 1","Marseille","26","12","8","646",7.2,"0","2","0","0","0","2","0","0.1","0.1","1.8","14","72"
"Saïd Benrahma","ALG","FW,MF","Ligue 1","Lyon","28","13","9","735",8.2,"1","3","1","0","0","0","0","2.0","2.0","2.1","41","32"
"Lucas Beraldo","BRA","DF","Ligue 1","Paris S-G","20","25","22","2,011",22.3,"1","0","1","0","0","6","0","0.9","0.9","0.4","9","131"
"Maxime Bernauer","FRA","DF","Ligue 1","Saint-Étienne","26","11","9","763",8.5,"0","0","0","0","0","4","1","0.1","0.1","0.0","7","41"
"Mika Biereth","DEN","FW","Ligue 1","Monaco","21","16","16","1,228",13.6,"13","2","12","1","2","0","0","11.3","9.7","4.5","14","24"
"Emmanuel Biumla","FRA","DF","Ligue 1","Angers","19","17","15","1,336",14.8,"1","0","1","0","0","2","0","0.7","0.7","0.0","3","16"
"Marco Bizot","NED","GK","Ligue 1","Brest","33","32","32","2,880",32,"0","0","0","0","0","4","0","0.0","0.0","0.0","0","1"
"Ludovic Blas","FRA","MF,FW","Ligue 1","Rennes","26","29","26","2,293",25.5,"6","8","6","0","0","6","0","5.0","5.0","4.6","83","116"
"Augustine Boakye","GHA","FW,MF","Ligue 1","Saint-Étienne","23","17","8","733",8.1,"3","0","3","0","0","5","0","1.8","1.8","0.9","25","35"
"Jeremie Boga","CIV","MF,FW","Ligue 1","Nice","27","21","12","1,054",11.7,"1","2","1","0","0","0","0","2.3","2.3","2.8","64","39"
"Moïse Bombito","CAN","DF","Ligue 1","Nice","24","27","25","2,192",24.4,"0","0","0","0","0","3","1","0.7","0.7","0.2","27","97"
"Ayyoub Bouaddi","FRA","MF","Ligue 1","Lille","16","24","11","1,151",12.8,"0","1","0","0","0","2","0","0.1","0.1","1.0","11","37"
"Badredine Bouanani","ALG","MF,FW","Ligue 1","Nice","19","26","11","1,099",12.2,"3","3","2","1","1","2","0","2.7","1.9","2.4","47","44"
"Benjamin Bouchouari","MAR","MF","Ligue 1","Saint-Étienne","22","25","20","1,772",19.7,"1","0","1","0","0","6","0","0.6","0.6","0.9","48","133"
"Hicham Boudaoui","ALG","MF","Ligue 1","Nice","24","29","27","2,435",27.1,"2","3","2","0","0","9","0","2.7","2.7","3.0","54","124"
"Lilian Brassier","FRA","DF","Ligue 1","Marseille","24","12","9","779",8.7,"0","0","0","0","0","3","0","0.2","0.2","0.0","11","40"
"Lilian Brassier","FRA","DF","Ligue 1","Rennes","24","14","14","1,234",13.7,"1","1","1","0","0","1","0","1.5","1.5","0.3","21","75"
"Aurélio Buta","POR","DF","Ligue 1","Reims","27","27","24","1,970",21.9,"0","1","0","0","0","5","0","0.3","0.3","0.8","28","83"
"Marcin Bułka","POL","GK","Ligue 1","Nice","24","34","34","3,060",34,"0","0","0","0","0","0","0","0.0","0.0","0.2","0","2"
"Rémy Cabella","FRA","FW,MF","Ligue 1","Lille","34","23","12","1,011",11.2,"1","2","1","0","0","1","0","4.0","4.0","2.3","45","77"
"Mathieu Cafaro","FRA","MF,FW","Ligue 1","Saint-Étienne","27","15","9","732",8.1,"1","0","1","0","0","3","1","1.5","1.5","1.3","19","16"
"Duje Ćaleta-Car","CRO","DF","Ligue 1","Lyon","27","19","17","1,584",17.6,"1","0","1","0","0","8","0","2.1","2.1","0.1","4","46"
"Lamine Camara","SEN","MF","Ligue 1","Monaco","20","29","25","2,054",22.8,"2","7","2","0","0","10","1","2.3","2.3","4.4","25","141"
"Mahdi Camara","FRA","MF,FW","Ligue 1","Brest","26","34","31","2,659",29.5,"5","3","5","0","0","5","0","4.1","4.1","2.0","58","111"
"Jaydee Canvot","FRA","DF,MF","Ligue 1","Toulouse","18","18","12","1,106",12.3,"0","0","0","0","0","2","0","0.2","0.2","0.7","9","41"
"Pierrick Capelle","FRA","MF","Ligue 1","Angers","37","16","3","483",5.4,"0","0","0","0","0","4","0","0.2","0.2","1.2","10","22"
"Maxence Caqueret","FRA","MF","Ligue 1","Lyon","24","9","6","573",6.4,"0","0","0","0","0","1","0","0.7","0.7","0.4","14","50"
"Irvin Cardona","FRA","FW","Ligue 1","Saint-Étienne","26","15","13","1,063",11.8,"5","3","5","0","1","2","0","4.5","3.7","1.4","30","32"
"Patrik Carlgren","SWE","GK","Ligue 1","Nantes","32","5","4","417",4.6,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Josué Casimir","FRA","FW,MF","Ligue 1","Le Havre","22","27","23","1,997",22.2,"4","4","4","0","0","5","0","3.3","3.3","3.4","71","41"
"Cristian Cásseres Jr.","VEN","MF","Ligue 1","Toulouse","24","32","31","2,696",30,"1","3","1","0","0","11","0","1.0","1.0","2.6","31","128"
"Jean-Charles Castelletto","CMR","DF,MF","Ligue 1","Nantes","29","30","30","2,620",29.1,"0","0","0","0","0","5","1","1.8","1.8","0.1","21","87"
"Brendan Chardonnet","FRA","DF","Ligue 1","Brest","29","27","27","2,416",26.8,"1","0","1","0","0","6","0","0.8","0.8","1.2","7","51"
"Jhoanner Chávez","ECU","DF,MF","Ligue 1","Lens","22","10","7","596",6.6,"1","0","1","0","0","1","0","0.3","0.3","0.7","14","9"
"Rayan Cherki","FRA","FW,MF","Ligue 1","Lyon","20","30","22","2,041",22.7,"8","11","8","0","0","3","0","5.0","5.0","11.1","106","206"
"Lucas Chevalier","FRA","GK","Ligue 1","Lille","22","34","34","3,060",34,"0","0","0","0","0","0","0","0.0","0.0","0.9","0","1"
"Pedro Chirivella","ESP","MF","Ligue 1","Nantes","27","30","28","2,348",26.1,"0","2","0","0","0","6","0","0.5","0.5","1.8","16","170"
"Joris Chotard","FRA","MF","Ligue 1","Montpellier","22","26","23","1,892",21,"1","0","1","0","0","5","0","1.3","1.3","0.5","20","80"
"Djaoui Cissé","FRA","MF","Ligue 1","Rennes","20","14","14","1,121",12.5,"1","0","1","0","0","4","0","0.4","0.4","0.2","16","84"
"Jonathan Clauss","FRA","DF,MF","Ligue 1","Nice","31","28","27","2,303",25.6,"3","8","3","0","0","7","0","2.2","2.2","7.7","53","105"
"Marcus Coco","FRA","DF","Ligue 1","Nantes","28","20","10","951",10.6,"0","1","0","0","0","3","2","0.1","0.1","1.2","12","34"
"Derek Cornelius","CAN","DF","Ligue 1","Marseille","26","21","17","1,420",15.8,"0","0","0","0","0","9","2","0.9","0.9","0.1","10","68"
"Pierre Cornud","FRA","DF","Ligue 1","Saint-Étienne","27","11","7","576",6.4,"0","0","0","0","0","2","0","0.0","0.0","0.3","11","19"
"Soumaïla Coulibaly","FRA","DF","Ligue 1","Brest","20","7","5","438",4.9,"0","0","0","0","0","1","0","0.2","0.2","0.1","1","16"
"Tanguy Coulibaly","FRA","FW,MF","Ligue 1","Montpellier","23","25","17","1,485",16.5,"3","0","3","0","0","4","2","3.5","3.5","1.3","48","20"
