"player","nation","pos","league","team","age","matches_played","matches_started","mins_played","played_90s","goals","assists","np_goals","pens_scored","pens_taken","yellows","reds","xG","npxG","xAG","prog_carries","prog_passes"
"Ridle Baku","GER","FW,MF","Bundesliga","Wolfsburg","26","15","14","1,170",13,"2","1","2","0","0","2","0","1.5","1.5","1.3","16","44"
"Ridle Baku","GER","DF,MF","Bundesliga","RB Leipzig","26","19","15","1,275",14.2,"2","3","2","0","0","1","0","1.4","1.4","1.5","21","41"
"Maximilian Bauer","GER","DF","Bundesliga","Augsburg","24","11","8","658",7.3,"0","0","0","0","0","1","0","0.2","0.2","0.1","4","30"
"Oliver Baumann","GER","GK","Bundesliga","Hoffenheim","34","28","28","2,520",28,"0","0","0","0","0","1","0","0.0","0.0","1.0","0","1"
"Christoph Baumgartner","AUT","MF","Bundesliga","RB Leipzig","24","31","18","1,610",17.9,"2","1","2","0","0","5","0","4.5","4.5","1.3","37","53"
"Adrian Beck","GER","MF,FW","Bundesliga","Heidenheim","27","32","18","1,598",17.8,"4","1","4","0","0","1","0","3.3","3.3","1.2","37","69"
"Timo Becker","GER","DF","Bundesliga","Holstein Kiel","27","30","28","2,445",27.2,"0","2","0","0","0","2","0","1.4","1.4","0.8","28","57"
"Maximilian Beier","GER","FW,MF","Bundesliga","Dortmund","21","29","17","1,591",17.7,"8","5","8","0","0","2","0","7.7","7.7","3.3","24","33"
"Stefan Bell","GER","DF","Bundesliga","Mainz 05","32","18","15","1,436",16,"0","1","0","0","0","4","0","0.8","0.8","1.0","8","38"
"László Bénes","SVK","MF,FW","Bundesliga","Union Berlin","26","23","3","589",6.5,"2","1","2","0","0","4","0","0.9","0.9","1.0","6","28"
"Ramy Bensebaini","ALG","DF","Bundesliga","Dortmund","29","31","23","2,022",22.5,"1","6","1","0","0","6","0","1.3","1.3","3.2","26","128"
"Bernardo","BRA","DF","Bundesliga","Bochum","29","21","19","1,782",19.8,"0","0","0","0","0","5","0","0.7","0.7","0.7","14","100"
"Alexander Bernhardsson","SWE","FW,MF","Bundesliga","Holstein Kiel","25","19","15","1,263",14,"7","2","7","0","0","3","0","4.1","4.1","1.3","25","33"
"Matúš Bero","SVK","MF","Bundesliga","Bochum","28","30","29","2,565",28.5,"5","2","5","0","1","11","0","4.0","3.0","3.7","29","143"
"Tom Bischof","GER","MF,FW","Bundesliga","Hoffenheim","19","31","30","2,559",28.4,"5","2","5","0","0","5","0","2.2","2.2","3.6","47","138"
"Leonardo Bittencourt","GER","MF","Bundesliga","Werder Bremen","30","27","10","982",10.9,"2","1","2","0","0","3","0","1.6","1.6","1.6","19","64"
"Myron Boadu","NED","FW","Bundesliga","Bochum","23","19","11","1,042",11.6,"9","1","8","1","1","2","0","7.7","6.9","1.1","12","18"
"Sacha Boey","FRA","DF","Bundesliga","Bayern Munich","23","13","6","593",6.6,"0","2","0","0","0","1","0","0.1","0.1","1.2","18","39"
"Victor Boniface","NGA","FW","Bundesliga","Leverkusen","23","19","12","1,008",11.2,"8","1","8","0","1","2","0","7.8","7.1","1.1","26","23"
"Sebastiaan Bornauw","BEL","DF","Bundesliga","Wolfsburg","25","15","8","788",8.8,"2","1","2","0","0","2","0","1.2","1.2","0.5","3","21"
"Carlo Boukhalfa","MAR","MF","Bundesliga","St. Pauli","25","25","19","1,646",18.3,"2","0","2","0","0","1","0","1.5","1.5","1.1","10","41"
