"player","nation","pos","team","played_90s","pass_att","live_pass","dead_pass","free_kicks","through_balls","switches","crosses","throw_ins","corners","inswingers","outswingers","straight_corners","pass_comp","pass_offside","pass_block"
"Marko Arnautović","AUT","FW","Inter","5.9","158","148","8","0","2","0","5","0","0","0","0","0","113","2","3"
"Kristjan Asllani","ALB","MF","Inter","10.9","973","913","57","26","6","8","43","1","29","7","15","0","868","3","3"
"Arthur Atta","FRA","MF,FW","Udinese","13.9","633","609","22","6","1","5","24","11","3","1","2","0","509","2","22"
"Emil Audero","IDN","GK","Como","8.0","253","217","36","15","0","0","0","0","0","0","0","0","209","0","0"
"Tommaso Augello","ITA","DF","Cagliari","30.1","1640","1264","366","48","0","6","207","261","57","5","51","0","1179","10","50"
"Carlos Augusto","BRA","DF","Inter","18.1","1227","1116","109","22","2","2","19","83","0","0","0","0","1083","2","19"
"Yann Aurel Bisseck","GER","DF","Inter","17.3","1284","1241","43","20","2","1","8","20","0","0","0","0","1179","0","16"
"Paulo Azzi","BRA","DF","Cagliari","4.7","180","161","19","1","1","0","22","18","0","0","0","0","126","0","4"
"Oussama El Azzouzi","MAR","MF","Bologna","0.2","18","17","1","1","0","0","0","0","0","0","0","0","17","0","0"
"Jacopo Bacci","ITA","MF","Empoli","0.3","11","10","0","0","0","0","0","0","0","0","0","0","6","1","1"
"Milan Badelj","CRO","MF","Genoa","16.4","836","794","37","31","4","7","5","3","2","0","0","0","681","5","10"
"Mitchel Bakker","NED","MF","Atalanta","0.2","9","8","1","0","0","0","1","0","1","0","1","0","7","0","0"
"Tommaso Baldanzi","ITA","MF,FW","Roma","9.2","363","344","17","2","4","1","7","10","0","0","0","0","305","2","14"
"Keita Baldé","SEN","FW","Monza","7.1","223","215","8","2","0","0","6","1","1","0","0","0","199","0","4"
"Botond Balogh","HUN","DF","Parma","22.8","964","891","72","43","0","1","1","5","0","0","0","0","861","1","8"
"Mario Balotelli","ITA","FW,MF","Genoa","0.7","15","14","0","0","0","1","3","0","0","0","0","0","4","1","1"
"Lameck Banda","ZAM","FW,MF","Lecce","6.8","162","155","7","2","2","1","26","3","2","1","1","0","125","0","3"
"Daniel Bandeira","POR","MF","Hellas Verona","4.5","235","221","14","7","0","1","8","0","7","4","3","0","194","0","1"
"Mattia Bani","ITA","DF","Genoa","16.7","879","844","32","30","0","3","4","1","0","0","0","0","768","3","5"
"Antonín Barák","CZE","MF","Fiorentina","0.6","20","20","0","0","0","0","1","0","0","0","0","0","17","0","0"
"Federico Barba","ITA","DF","Como","4.8","292","263","29","12","0","1","3","9","0","0","0","0","258","0","0"
"Nicolò Barella","ITA","MF","Inter","27.3","1808","1742","48","31","18","23","68","7","10","1","8","0","1484","18","28"
"Davide Bartesaghi","ITA","DF","Milan","1.3","76","69","7","1","0","0","10","5","1","0","0","0","65","0","3"
"Federico Baschirotto","ITA","DF","Lecce","38.0","1635","1462","170","78","0","15","5","9","0","0","0","0","1409","3","5"
"Daniele Baselli","ITA","MF","Como","0.2","27","26","1","1","0","0","0","0","0","0","0","0","24","0","0"
"Alessandro Bastoni","ITA","DF","Inter","25.9","2225","1990","223","74","3","22","61","115","0","0","0","0","1966","12","18"
"Reda Belahyane","MAR","MF","Hellas Verona","18.4","701","685","15","14","1","3","3","1","0","0","0","0","587","1","9"
"Reda Belahyane","MAR","MF","Lazio","2.2","94","93","1","0","0","0","0","1","0","0","0","0","85","0","1"
"Raoul Bellanova","ITA","DF","Torino","1.0","43","35","7","0","0","0","5","7","0","0","0","0","31","1","0"
"Raoul Bellanova","ITA","DF","Atalanta","26.7","1264","1048","214","10","0","3","156","182","22","0","22","0","977","2","37"
"Andrea Belotti","ITA","FW","Como","6.6","120","108","12","0","1","0","5","0","0","0","0","0","90","0","6"
"Lucas Beltrán","ARG","FW,MF","Fiorentina","20.7","591","556","31","2","4","5","7","6","0","0","0","0","459","4","10"
"Adrian Benedyczak","POL","FW,MF","Parma","2.4","52","50","2","1","0","1","1","0","0","0","0","0","35","0","1"
"Ismaël Bennacer","ALG","MF","Milan","3.3","221","210","11","7","0","5","6","1","3","2","0","0","197","0","1"
"Medon Berisha","ALB","MF","Lecce","8.0","400","346","52","29","2","6","29","5","15","5","10","0","312","2","4"
"Adrian Bernabe","ESP","MF","Parma","16.1","984","880","102","63","5","14","29","2","22","11","5","0","823","2","18"
"Antoine Bernede","FRA","MF","Hellas Verona","6.6","242","231","11","2","0","3","13","4","4","2","2","0","178","0","10"
"Sam Beukema","NED","DF","Bologna","33.5","2114","2034","76","69","3","19","8","6","0","0","0","0","1826","4","12"
"Alessandro Bianco","ITA","MF","Monza","28.9","1525","1438","80","69","4","13","23","4","0","0","0","0","1314","7","23"
"Alessandro Bianco","ITA","MF","Fiorentina","0.2","12","11","0","0","0","1","0","0","0","0","0","0","9","1","0"
"Jaka Bijol","SVN","DF","Udinese","32.9","1712","1642","66","41","2","12","3","4","0","0","0","0","1432","4","6"
"Philip Billing","DEN","MF","Napoli","2.2","101","100","0","0","1","0","2","0","0","0","0","0","79","1","2"
