"player","nation","pos","team","played_90s","shot_create_action","sca_live","sca_dead","sca_take_on","sca_shot","sca_foul","sca_defense","goal_create_action","gca_live","gca_dead","gca_take_on","gca_shot","gca_foul","gca_defense"
"Aliou Badara Baldé","GUI","MF,FW","Bochum","1.0","3","2","0","1","0","0","0","0","0","0","0","0","0","0"
"Ridle Baku","GER","FW,MF","Wolfsburg","13.0","31","22","2","1","3","1","2","4","3","0","0","0","1","0"
"Ridle Baku","GER","DF,MF","RB Leipzig","14.2","30","25","1","2","1","0","1","6","5","0","0","0","0","1"
"Samuel Bamba","GER","FW,MF","Bochum","0.3","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Noahkai Banks","USA","DF","Augsburg","3.1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Scott Banks","SCO","FW,MF","St. Pauli","1.3","3","0","0","1","1","1","0","1","0","0","0","1","0","0"
"Aymen Barkok","MAR","MF","Mainz 05","0.8","2","1","1","0","0","0","0","0","0","0","0","0","0","0"
"Michy Batshuayi","BEL","FW","Eint Frankfurt","3.3","4","3","0","0","0","1","0","0","0","0","0","0","0","0"
"Maximilian Bauer","GER","DF","Augsburg","7.3","4","2","0","0","0","1","1","0","0","0","0","0","0","0"
"Oliver Baumann","GER","GK","Hoffenheim","28.0","10","6","4","0","0","0","0","2","0","2","0","0","0","0"
"Christoph Baumgartner","AUT","MF","RB Leipzig","17.9","42","31","0","3","6","1","1","6","3","0","1","2","0","0"
"Ihlas Bebou","TOG","MF","Hoffenheim","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adrian Beck","GER","MF,FW","Heidenheim","17.8","56","37","4","10","4","1","0","4","2","1","1","0","0","0"
"Timo Becker","GER","DF","Holstein Kiel","27.2","30","22","1","2","4","0","1","8","5","0","1","1","0","1"
"Hannes Behrens","GER","DF","Hoffenheim","0.3","2","1","1","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Behrens","GER","FW","Wolfsburg","1.9","8","5","1","0","1","1","0","0","0","0","0","0","0","0"
"Maximilian Beier","GER","FW,MF","Dortmund","17.7","55","38","0","6","4","3","4","7","5","0","1","1","0","0"
"Stefan Bell","GER","DF","Mainz 05","16.0","10","7","0","0","2","0","1","3","2","0","0","1","0","0"
"Jeanuël Belocian","FRA","DF,MF","Leverkusen","0.8","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"László Bénes","SVK","MF,FW","Union Berlin","6.5","30","17","12","0","1","0","0","1","0","1","0","0","0","0"
"Ramy Bensebaini","ALG","DF","Dortmund","22.5","39","33","3","0","2","0","1","10","8","1","0","0","0","1"
"Mergim Berisha","GER","FW,MF","Hoffenheim","3.7","5","4","0","0","1","0","0","1","1","0","0","0","0","0"
"Mergim Berisha","GER","FW","Augsburg","0.4","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Bernardo","BRA","DF","Bochum","19.8","22","18","1","0","2","0","1","0","0","0","0","0","0","0"
"Alexander Bernhardsson","SWE","FW,MF","Holstein Kiel","14.0","36","21","5","4","4","1","1","7","2","0","2","1","1","1"
"Matúš Bero","SVK","MF","Bochum","28.5","120","64","41","4","6","3","2","7","2","2","2","1","0","0"
"Jan-Niklas Beste","GER","FW,MF","Freiburg","2.4","5","2","2","0","1","0","0","1","1","0","0","0","0","0"
"El Bilal Touré","MLI","FW,MF","Stuttgart","4.0","11","8","0","1","2","0","0","1","1","0","0","0","0","0"
"Tom Bischof","GER","MF,FW","Hoffenheim","28.4","117","67","32","4","8","4","2","7","6","1","0","0","0","0"
"Leonardo Bittencourt","GER","MF","Werder Bremen","10.9","39","28","2","0","4","4","1","5","5","0","0","0","0","0"
"Myron Boadu","NED","FW","Bochum","11.6","30","22","0","4","1","3","0","3","1","0","2","0","0","0"
"Sacha Boey","FRA","DF","Bayern Munich","6.6","11","8","0","2","0","1","0","3","2","0","1","0","0","0"
"Victor Boniface","NGA","FW","Leverkusen","11.2","32","19","0","5","8","0","0","3","1","0","2","0","0","0"
"Sebastiaan Bornauw","BEL","DF","Wolfsburg","8.8","4","3","0","0","1","0","0","1","0","0","0","1","0","0"
"Carlo Boukhalfa","MAR","MF","St. Pauli","18.3","36","25","0","1","6","3","1","2","2","0","0","0","0","0"
"Julian Brandt","GER","MF","Dortmund","25.6","102","89","6","2","5","0","0","14","13","1","0","0","0","0"
"Tim Breithaupt","GER","MF","Augsburg","1.3","3","3","0","0","0","0","0","2","2","0","0","0","0","0"
"Maximilian Breunig","GER","FW,MF","Heidenheim","3.9","8","5","1","1","1","0","0","0","0","0","0","0","0","0"
"Moritz Broschinski","GER","FW,MF","Bochum","15.4","36","27","0","3","4","2","0","4","2","0","1","1","0","0"
"Nathaniel Brown","GER","DF,MF","Eint Frankfurt","21.6","64","44","16","0","2","2","0","11","7","3","0","1","0","0"
"Jacob Bruun Larsen","DEN","FW,MF","Hoffenheim","4.4","19","12","1","2","4","0","0","4","2","0","1","1","0","0"
"Jacob Bruun Larsen","DEN","MF,FW","Stuttgart","4.6","19","14","1","1","3","0","0","0","0","0","0","0","0","0"
"Emi Buendía","ARG","MF","Leverkusen","2.9","12","6","0","1","3","2","0","1","0","0","0","1","0","0"
"Marius Bülter","GER","FW,DF","Hoffenheim","19.2","48","34","0","3","3","7","1","7","4","0","2","0","1","0"
"Jonathan Burkardt","GER","FW","Mainz 05","23.4","54","41","0","3","6","4","0","8","6","0","0","1","1","0"
"Oliver Burke","SCO","FW","Werder Bremen","10.1","33","24","1","2","4","1","1","2","0","1","0","0","0","1"
"Marnon Busch","GER","DF,MF","Heidenheim","15.5","27","21","4","0","2","0","0","1","0","0","0","1","0","0"
"Anthony Caci","FRA","DF","Mainz 05","29.8","95","73","17","2","2","0","1","11","11","0","0","0","0","0"
"Cole Campbell","USA","MF,FW","Dortmund","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Emre Can","GER","DF,MF","Dortmund","23.4","32","28","0","0","2","1","1","2","2","0","0","0","0","0"
"Tiago Cardoso","LUX","GK","Gladbach","4.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Abdoulie Ceesay","GAM","FW","St. Pauli","0.7","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Julian Chabot","GER","DF","Stuttgart","25.2","24","21","1","0","2","0","0","2","2","0","0","0","0","0"
"El Chadaille Bitshiabu","FRA","DF","RB Leipzig","12.6","14","12","0","1","0","0","1","1","1","0","0","0","0","0"
"Fares Chaïbi","ALG","MF,FW","Eint Frankfurt","11.3","50","32","10","1","5","1","1","7","6","1","0","0","0","0"
"Timothy Chandler","USA","DF","Eint Frankfurt","0.3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Anrie Chase","JPN","DF","Stuttgart","8.2","8","7","0","0","1","0","0","0","0","0","0","0","0","0"
"Arthur Chaves","BRA","DF","Hoffenheim","24.3","23","19","0","0","2","1","1","1","0","0","0","1","0","0"
"Fabio Chiarodia","ITA","DF","Gladbach","4.2","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Carney Chukwuemeka","ENG","MF","Dortmund","2.8","20","18","0","1","1","0","0","4","4","0","0","0","0","0"
"Alexis Claude-Maurice","FRA","MF,FW","Augsburg","23.4","77","54","1","8","3","11","0","6","3","0","1","0","2","0"
"Nnamdi Collins","GER","DF","Eint Frankfurt","16.5","9","7","0","2","0","0","0","3","1","0","2","0","0","0"
"Kingsley Coman","FRA","FW","Bayern Munich","14.2","81","60","0","14","5","2","0","11","6","0","3","1","1","0"
"Sirlord Conteh","GER","FW,MF","Heidenheim","9.9","28","24","0","1","0","3","0","4","4","0","0","0","0","0"
"Danny da Costa","GER","DF","Mainz 05","22.3","31","29","0","1","0","0","1","3","3","0","0","0","0","0"
"Yan Couto","BRA","DF,FW","Dortmund","9.9","29","26","0","2","1","0","0","2","2","0","0","0","0","0"
"Tomáš Čvančara","CZE","FW","Gladbach","9.2","15","13","0","0","1","1","0","1","1","0","0","0","0","0"
"Finn Dahmen","GER","GK","Augsburg","19.0","2","2","0","0","0","0","0","1","1","0","0","0","0","0"
"Thomas Dähne","GER","GK","Holstein Kiel","9.0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Mahmoud Dahoud","GER","MF","Eint Frankfurt","4.0","13","10","0","0","2","0","1","2","1","0","0","0","0","1"
"Ameen Al-Dakhil","BEL","DF","Stuttgart","4.8","4","3","0","0","1","0","0","0","0","0","0","0","0","0"
"Bence Dárdai","HUN","MF","Wolfsburg","14.5","24","17","0","0","4","3","0","2","1","0","0","0","1","0"
"Lukas Daschner","GER","MF,FW","Bochum","4.6","10","7","2","1","0","0","0","1","1","0","0","0","0","0"
"Alphonso Davies","CAN","DF","Bayern Munich","17.3","61","52","0","4","3","2","0","8","6","0","1","1","0","0"
"Olivier Deman","BEL","DF","Werder Bremen","0.7","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Ermedin Demirović","BIH","FW","Stuttgart","20.6","47","35","0","2","7","3","0","7","4","0","0","2","1","0"
"Justin Diehl","GER","FW,DF","Stuttgart","1.2","4","3","0","1","0","0","0","0","0","0","0","0","0","0"
"Eric Dier","ENG","DF","Bayern Munich","16.3","13","11","0","0","2","0","0","2","1","0","0","1","0","0"
"Junior Dina Ebimbe","FRA","MF,FW","Eint Frankfurt","3.3","6","2","0","0","2","2","0","1","1","0","0","0","0","0"
"Eren Dinkçi","GER","MF,FW","Freiburg","13.3","43","36","0","3","1","2","1","5","5","0","0","0","0","0"
"Ritsu Doan","JPN","FW,MF","Freiburg","31.8","111","68","2","14","9","15","3","16","11","1","1","1","1","1"
"Danilho Doekhi","NED","DF","Union Berlin","34.0","32","21","0","0","8","2","1","4","2","0","0","2","0","0"
"Niklas Dorsch","GER","MF","Augsburg","0.4","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Niklas Dorsch","GER","MF","Heidenheim","14.8","35","22","10","0","0","1","2","2","2","0","0","0","0","0"
"Patrick Drewes","GER","GK","Bochum","21.0","2","1","1","0","0","0","0","0","0","0","0","0","0","0"
"Tim Drexler","GER","DF","Hoffenheim","4.0","6","6","0","0","0","0","0","1","1","0","0","0","0","0"
"Marvin Ducksch","GER","FW","Werder Bremen","26.9","103","58","37","1","6","0","1","12","9","2","0","1","0","0"
"Julien Duranville","BEL","FW,MF","Dortmund","3.1","7","3","0","0","0","4","0","1","0","0","0","0","1","0"
"Adam Dźwigała","POL","DF,MF","St. Pauli","4.1","5","5","0","0","0","0","0","0","0","0","0","0","0","0"
"Johannes Eggestein","GER","FW","St. Pauli","20.6","43","36","0","0","4","2","1","4","4","0","0","0","0","0"
"Maximilian Eggestein","GER","MF","Freiburg","31.6","51","42","0","1","3","4","1","5","5","0","0","0","0","0"
"Hugo Ekitike","FRA","FW","Eint Frankfurt","28.5","101","63","0","14","20","4","0","12","9","0","2","0","1","0"
"Elif Elmas","MKD","MF","RB Leipzig","0.5","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Nico Elvedi","SUI","DF","Gladbach","23.7","16","15","0","0","1","0","0","4","3","0","0","1","0","0"
"Arne Engels","BEL","MF,FW","Augsburg","0.9","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Patrick Erras","GER","DF","Holstein Kiel","9.2","8","8","0","0","0","0","0","0","0","0","0","0","0","0"
"Samuel Essende","COD","FW","Augsburg","18.2","27","14","1","3","4","5","0","3","2","0","1","0","0","0"
"Frank Feller","GER","GK","Heidenheim","1.3","1","0","1","0","0","0","0","1","0","1","0","0","0","0"
"Kilian Fischer","GER","DF","Wolfsburg","25.5","39","33","4","0","1","0","1","2","2","0","0","0","0","0"
"Jonas Föhrenbach","GER","DF","Heidenheim","20.4","34","30","1","1","1","1","0","4","3","1","0","0","0","0"
"Marco Friedl","AUT","DF","Werder Bremen","24.0","13","9","2","0","2","0","0","0","0","0","0","0","0","0"
"Marvin Friedrich","GER","DF","Gladbach","11.0","9","8","0","0","1","0","0","1","0","0","0","1","0","0"
"Jeremie Frimpong","NED","DF,MF","Leverkusen","25.7","66","53","0","3","4","3","3","11","7","0","1","1","1","1"
"Chris Führich","GER","MF,FW","Stuttgart","22.0","85","68","6","4","7","0","0","8","6","1","0","1","0","0"
"Shiō Fukuda","JPN","FW","Gladbach","0.7","2","2","0","0","0","0","0","1","1","0","0","0","0","0"
"Cristian Gamboa","CRC","DF","Bochum","2.5","6","4","0","0","0","2","0","0","0","0","0","0","0","0"
"Aleix García","ESP","MF","Leverkusen","16.2","60","39","16","0","4","0","1","10","5","3","0","2","0","0"
"Viggo Gebel","GER","MF","RB Leipzig","0.2","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Lutsharel Geertruida","NED","DF","RB Leipzig","17.3","25","22","1","0","0","0","2","1","1","0","0","0","0","0"
"Dennis Geiger","GER","MF,FW","Hoffenheim","8.2","26","23","1","1","0","1","0","0","0","0","0","0","0","0"
"Valentin Gendrey","FRA","DF","Hoffenheim","15.7","37","27","5","1","2","2","0","4","1","2","0","0","1","0"
"Yannick Gerhardt","GER","MF,DF","Wolfsburg","16.9","29","23","0","1","1","4","0","2","1","0","0","0","1","0"
"Max Geschwill","GER","DF","Holstein Kiel","14.2","24","18","2","0","2","0","2","2","1","0","0","0","0","1"
"Dimitris Giannoulis","GRE","DF","Augsburg","29.4","76","66","4","2","2","1","1","6","5","0","0","1","0","0"
"Armin Gigovic","BIH","MF","Holstein Kiel","21.1","39","29","2","1","1","6","0","7","3","1","1","0","2","0"
"Benedikt Gimber","GER","DF","Heidenheim","29.7","15","12","0","0","1","1","1","1","0","0","0","0","1","0"
"Matthias Ginter","GER","DF","Freiburg","28.5","27","20","2","0","3","2","0","4","3","0","0","0","1","0"
"Jamie Gittens","ENG","FW,MF","Dortmund","19.7","73","34","0","29","7","3","0","10","4","0","6","0","0","0"
"Serge Gnabry","GER","FW,MF","Bayern Munich","13.8","56","44","0","8","2","0","2","13","8","0","4","0","0","1"
"Tidiam Gomis","FRA","MF,FW","RB Leipzig","1.7","9","6","0","2","1","0","0","1","1","0","0","0","0","0"
"Leon Goretzka","GER","MF,DF","Bayern Munich","14.7","28","21","0","2","2","1","2","2","2","0","0","0","0","0"
"Robin Gosens","GER","DF","Union Berlin","1.0","5","3","0","0","1","0","1","1","1","0","0","0","0","0"
"Mario Götze","GER","MF,FW","Eint Frankfurt","17.1","58","54","3","0","0","1","0","3","3","0","0","0","0","0"
"Jeffrey Gouweleeuw","NED","DF","Augsburg","32.7","34","29","4","0","0","0","1","5","3","1","0","0","0","1"
"Kamil Grabara","POL","GK","Wolfsburg","28.7","6","5","1","0","0","0","0","0","0","0","0","0","0","0"
"Michael Gregoritsch","AUT","FW","Freiburg","7.1","19","15","0","1","2","0","1","5","3","0","0","2","0","0"
"Vincenzo Grifo","ITA","FW,MF","Freiburg","27.0","121","69","33","6","12","1","0","15","10","4","1","0","0","0"
"Florian Grillitsch","AUT","MF","Hoffenheim","6.7","17","17","0","0","0","0","0","0","0","0","0","0","0","0"
"Álex Grimaldo","ESP","DF","Leverkusen","29.3","129","72","41","6","7","3","0","11","5","4","0","1","1","0"
"Pascal Groß","GER","MF,DF","Dortmund","25.9","96","58","29","1","6","1","1","17","14","0","1","1","0","1"
"Marco Grüll","AUT","FW,MF","Werder Bremen","13.1","41","29","0","3","4","5","0","5","2","0","0","1","2","0"
"Raphaël Guerreiro","POR","DF,MF","Bayern Munich","17.5","54","49","3","0","2","0","0","10","8","0","0","2","0","0"
"Morgan Guilavogui","GUI","FW,MF","St. Pauli","20.1","52","38","0","7","3","2","2","4","2","0","1","1","0","0"
"Serhou Guirassy","GUI","FW","Dortmund","28.9","53","36","0","1","10","6","0","10","5","0","0","3","2","0"
"Péter Gulácsi","HUN","GK","RB Leipzig","29.2","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Robert Gumny","POL","DF","Augsburg","3.0","8","5","2","0","0","1","0","0","0","0","0","0","0","0"
"Christian Günter","GER","DF","Freiburg","25.7","53","40","8","0","3","2","0","4","3","1","0","0","0","0"
"Janik Haberer","GER","MF,DF","Union Berlin","18.8","34","27","1","0","3","3","0","1","1","0","0","0","0","0"
"Robin Hack","GER","FW,MF","Gladbach","24.1","75","56","6","3","6","3","1","11","10","0","0","0","1","0"
"Amadou Haidara","MLI","MF","RB Leipzig","14.7","29","26","0","0","2","1","0","3","2","0","0","1","0","0"
"Andreas Hanche-Olsen","NOR","DF","Mainz 05","14.3","5","3","0","0","2","0","0","1","1","0","0","0","0","0"
"Phil Harres","GER","FW","Holstein Kiel","17.2","22","14","0","0","4","4","0","5","1","0","0","2","2","0"
"Ramon Hendriks","NED","DF","Stuttgart","12.8","13","8","3","1","1","0","0","2","2","0","0","0","0","0"
"Paul Hennrich","GER","MF","Hoffenheim","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Benjamin Henrichs","GER","DF","RB Leipzig","10.4","20","18","1","0","1","0","0","4","4","0","0","0","0","0"
"Mario Hermoso","ESP","DF","Leverkusen","3.3","5","2","0","0","3","0","0","0","0","0","0","0","0","0"
"Piero Hincapié","ECU","DF","Leverkusen","29.7","35","27","1","0","6","0","1","3","3","0","0","0","0","0"
"Adam Hložek","CZE","FW,MF","Hoffenheim","20.8","57","41","1","7","4","4","0","10","6","1","2","1","0","0"
"Nicolas Höfler","GER","MF","Freiburg","8.8","13","12","0","0","0","1","0","1","1","0","0","0","0","0"
"Jonas Hofmann","GER","MF,DF","Leverkusen","4.0","16","13","1","0","1","1","0","1","1","0","0","0","0","0"
"Philipp Hofmann","GER","FW","Bochum","25.3","55","42","0","0","9","2","2","3","2","0","0","1","0","0"
"Lucas Höler","GER","FW,MF","Freiburg","20.7","51","37","1","2","7","4","0","6","3","0","1","1","1","0"
"Benedict Hollerbach","GER","FW,MF","Union Berlin","28.2","79","49","1","12","10","6","1","7","3","0","1","1","2","0"
"Lewis Holtby","GER","MF","Holstein Kiel","13.8","37","19","13","0","1","3","1","3","1","1","0","0","1","0"
"Gerrit Holtmann","PHI","DF,FW","Bochum","12.6","43","34","1","2","4","0","2","3","1","1","0","0","0","1"
"Franck Honorat","FRA","FW","Gladbach","16.0","83","46","26","3","7","0","1","8","4","4","0","0","0","0"
"Mathias Honsak","AUT","FW,DF","Heidenheim","13.1","41","22","8","4","5","2","0","5","0","2","3","0","0","0"
"Timo Horn","GER","GK","Bochum","13.0","3","1","2","0","0","0","0","0","0","0","0","0","0","0"
"Lukáš Hrádecký","FIN","GK","Leverkusen","29.0","4","4","0","0","0","0","0","1","1","0","0","0","0","0"
"Robin Hranáč","CZE","DF","Hoffenheim","2.4","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Hong Hyunseok","KOR","MF","Mainz 05","5.9","22","19","0","1","2","0","0","3","2","0","0","1","0","0"
"Oscar Højlund","DEN","MF","Eint Frankfurt","8.0","17","11","0","1","2","0","3","1","0","0","1","0","0","0"
"Arijon Ibrahimović","GER","FW","Bayern Munich","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrej Ilic","SRB","FW","Union Berlin","10.4","15","9","0","1","3","2","0","2","1","0","0","1","0","0"
"Jackson Irvine","AUS","MF","St. Pauli","29.0","56","48","0","0","4","1","3","5","3","0","0","1","0","1"
"Ko Itakura","JPN","DF","Gladbach","31.0","25","17","0","1","5","1","1","1","0","0","0","1","0","0"
"Hiroki Ito","JPN","DF","Bayern Munich","2.8","5","5","0","0","0","0","0","1","1","0","0","0","0","0"
"Marko Ivezić","SRB","DF","Holstein Kiel","18.4","12","10","0","0","0","1","1","1","1","0","0","0","0","0"
"Lee Jae-sung","KOR","MF","Mainz 05","29.4","73","64","0","2","2","5","0","14","11","0","0","1","2","0"
"Kristijan Jakić","CRO","MF","Augsburg","25.6","42","35","1","3","2","1","0","7","6","0","0","0","1","0"
"Luca Jaquez","SUI","DF","Stuttgart","2.8","5","5","0","0","0","0","0","0","0","0","0","0","0","0"
"Dominik Javorček","SVK","DF,MF","Holstein Kiel","4.3","7","4","3","0","0","0","0","2","1","1","0","0","0","0"
"Finn Jeltsch","GER","DF","Stuttgart","8.7","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Fredrik Jensen","FIN","MF","Augsburg","8.5","19","15","0","2","0","2","0","0","0","0","0","0","0","0"
"Moritz Jenz","GER","DF","Mainz 05","17.8","11","8","0","0","3","0","0","2","1","0","0","1","0","0"
"Carl Johansson","SWE","DF","Holstein Kiel","6.3","8","8","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Jung","GER","DF","Werder Bremen","21.1","14","14","0","0","0","0","0","1","1","0","0","0","0","0"
"Josip Juranović","CRO","DF,MF","Union Berlin","12.9","51","30","20","0","1","0","0","2","0","2","0","0","0","0"
"David Jurásek","CZE","DF","Hoffenheim","6.9","19","15","2","0","1","1","0","1","1","0","0","0","0","0"
"Yusuf Kabadayı","GER","FW,MF","Augsburg","0.8","4","4","0","0","0","0","0","0","0","0","0","0","0","0"
"Almugera Kabar","GER","DF","Dortmund","1.5","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Issa Kaboré","BFA","DF,FW","Werder Bremen","3.4","15","9","0","1","4","1","0","4","1","0","0","2","1","0"
"Pavel Kadeřábek","CZE","DF","Hoffenheim","17.5","41","29","7","3","1","0","1","1","1","0","0","0","0","0"
"Jakub Kamiński","POL","DF,MF","Wolfsburg","12.6","43","28","9","3","2","1","0","5","2","1","0","1","1","0"
"Kevin Kampl","SVN","MF","RB Leipzig","17.7","44","39","4","1","0","0","0","5","5","0","0","0","0","0"
"Harry Kane","ENG","FW","Bayern Munich","26.5","89","59","1","9","15","5","0","21","12","0","2","4","3","0"
"Atakan Karazor",NA,"MF","Stuttgart","29.1","43","34","1","0","3","3","2","7","5","0","0","1","0","1"
"Mikkel Kaufmann","DEN","FW","Heidenheim","4.1","12","7","1","0","1","3","0","1","0","0","0","0","1","0"
"Yannik Keitel","GER","MF","Stuttgart","3.0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Andu Kelati","GER","MF,DF","Holstein Kiel","3.2","9","8","0","0","1","0","0","1","1","0","0","0","0","0"
"Thomas Keller","GER","DF,MF","Heidenheim","1.6","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Aljoscha Kemlein","GER","MF","Union Berlin","10.2","21","18","2","0","0","0","1","2","1","0","0","0","0","1"
"Luca Kerber","GER","MF,DF","Heidenheim","8.7","9","7","0","0","1","1","0","1","0","0","0","1","0","0"
"Rani Khedira","GER","MF","Union Berlin","30.3","33","31","0","0","1","0","1","2","2","0","0","0","0","0"
"Joshua Kimmich","GER","MF","Bayern Munich","31.6","159","116","36","2","3","1","1","18","13","3","1","1","0","0"
"Tim Kleindienst","GER","FW","Gladbach","30.4","68","48","1","1","10","4","4","14","9","1","0","1","2","1"
"Lukas Klostermann","GER","DF","RB Leipzig","20.4","17","14","2","0","1","0","0","2","2","0","0","0","0","0"
"Ansgar Knauff","GER","MF,DF","Eint Frankfurt","17.7","62","38","0","12","4","6","2","10","5","0","3","1","0","1"
"Magnus Knudsen","NOR","MF","Holstein Kiel","20.6","32","25","0","1","2","4","0","4","4","0","0","0","0","0"
"Gregor Kobel","SUI","GK","Dortmund","32.0","4","3","0","0","0","1","0","0","0","0","0","0","0","0"
"Robin Koch","GER","DF","Eint Frankfurt","28.7","21","18","0","0","3","0","0","4","4","0","0","0","0","0"
"Derrick Köhn","GER","DF,FW","Werder Bremen","14.9","38","31","1","2","1","3","0","4","4","0","0","0","0","0"
"Dominik Kohr","GER","DF,MF","Mainz 05","25.5","29","25","1","1","2","0","0","2","1","0","0","1","0","0"
"Marco Komenda","CRO","DF","Holstein Kiel","14.5","23","21","0","1","0","0","1","1","1","0","0","0","0","0"
"Mert Kömür","GER","MF","Augsburg","7.3","25","9","11","2","2","1","0","1","0","1","0","0","0","0"
"Kacper Koscierski","GER","DF","Bochum","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Henri Koudossou","GER","DF","Augsburg","8.3","18","15","0","1","1","0","1","2","2","0","0","0","0","0"
"Konstantinos Koulierakis","GRE","DF","Wolfsburg","27.4","31","24","2","0","4","0","1","4","3","0","0","1","0","0"
"Matej Kovar","CZE","GK","Leverkusen","5.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrej Kramarić","CRO","MF,FW","Hoffenheim","30.7","102","78","13","2","7","2","0","14","11","1","0","1","1","0"
"Frans Krätzig","GER","DF,MF","Heidenheim","13.5","45","31","10","2","0","0","2","2","2","0","0","0","0","0"
"Frans Krätzig","GER","DF","Stuttgart","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tom Krauß","GER","MF","Bochum","12.0","40","33","0","1","0","5","1","1","0","0","0","0","0","1"
"Rasmus Kristensen","DEN","DF","Eint Frankfurt","27.9","60","46","4","2","5","2","1","10","5","0","1","3","0","1"
"Lukas Kübler","GER","DF","Freiburg","20.5","26","21","1","0","4","0","0","4","3","0","0","1","0","0"
"Jonah Kusi-Asare","SWE","FW","Bayern Munich","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Moritz-Broni Kwarteng","GHA","MF,FW","Bochum","1.9","9","7","0","1","1","0","0","0","0","0","0","0","0","0"
"Nediljko Labrović","CRO","GK","Augsburg","15.0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Konrad Laimer","AUT","DF","Bayern Munich","18.9","62","56","2","1","1","1","1","8","8","0","0","0","0","0"
"Stefan Lainer","AUT","DF","Gladbach","8.4","15","15","0","0","0","0","0","1","1","0","0","0","0","0"
"Hugo Larsson","SWE","MF","Eint Frankfurt","26.6","57","48","0","2","5","1","1","5","2","0","1","2","0","0"
"Diogo Leite","POR","DF","Union Berlin","28.3","33","25","2","1","1","4","0","3","2","0","0","0","1","0"
"Maxim Leitsch","GER","DF","Mainz 05","7.5","7","6","0","0","1","0","0","0","0","0","0","0","0","0"
"Jamie Leweling","GER","MF,FW","Stuttgart","18.5","52","37","0","8","3","4","0","9","3","0","1","3","2","0"
"Philipp Lienhart","AUT","DF","Freiburg","30.8","26","20","4","0","0","1","1","2","1","1","0","0","0","0"
"Marin Ljubicic","CRO","FW,MF","Union Berlin","3.1","9","5","1","0","0","3","0","3","2","0","0","0","1","0"
"Anthony Losilla","FRA","MF","Bochum","12.6","19","18","0","0","0","1","0","2","2","0","0","0","0","0"
"Yannik Lührs","GER","DF","Dortmund","1.4","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Castello Lukeba","FRA","DF","RB Leipzig","17.5","17","14","1","2","0","0","0","1","1","0","0","0","0","0"
"Senne Lynen","BEL","MF","Werder Bremen","30.4","32","28","0","1","2","0","1","6","6","0","0","0","0","0"
"Shuto Machino","JPN","FW,MF","Holstein Kiel","21.7","74","48","19","2","3","2","0","9","8","1","0","0","0","0"
"Arne Maier","GER","MF","Augsburg","10.4","44","25","17","0","2","0","0","4","1","2","0","1","0","0"
"Patrick Mainka","GER","DF","Heidenheim","34.0","28","23","0","0","5","0","0","2","0","0","0","2","0","0"
"Lovro Majer","CRO","MF","Wolfsburg","3.4","13","9","3","0","1","0","0","2","1","1","0","0","0","0"
"Jordy Makengo","FRA","DF","Freiburg","8.3","9","7","1","1","0","0","0","1","1","0","0","0","0","0"
"Jarzinho Malanga","GER","DF","Stuttgart","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Julián Malatini","ARG","DF","Werder Bremen","5.0","5","4","0","0","1","0","0","2","2","0","0","0","0","0"
"Donyell Malen","NED","FW,MF","Dortmund","6.8","12","9","0","2","1","0","0","3","3","0","0","0","0","0"
"Lennard Maloney","USA","MF","Heidenheim","8.4","7","6","0","0","1","0","0","0","0","0","0","0","0","0"
