"player","nation","pos","team","played_90s","goals","shots","shots_ot","on_target_pct","shots_p90","shots_ot_p90","goals_per_shot","goals_per_sot","avg_shot_dist","free_kick_shots","pens","pens_taken"
"Kasey McAteer","IRL","FW","Leicester City","9.5","1","13","7","53.8","1.37","0.74","0.08","0.14","16.4","0","0","0"
"Alex McCarthy","ENG","GK","Southampton","5.0","0","0","0","","0.00","0.00","","","","0","0","0"
"John McGinn","SCO","MF,FW","Aston Villa","24.7","1","31","5","16.1","1.26","0.20","0.03","0.20","17.0","1","0","0"
"Dwight McNeil","ENG","MF,FW","Everton","15.2","4","25","10","40.0","1.64","0.66","0.16","0.40","21.9","0","0","0"
"Scott McTominay","SCO","MF","Manchester Utd","0.2","0","1","0","0.0","4.74","0.00","0.00","","10.7","0","0","0"
"Ben Mee","ENG","DF","Brentford","2.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Jayden Meghoma","ENG","DF","Brentford","0.1","0","0","0","","0.00","0.00","","","","0","0","0"
"Mikel Merino","ESP","MF,FW","Arsenal","17.6","7","38","13","34.2","2.16","0.74","0.18","0.54","10.7","0","0","0"
"Shumaira Mheuka","ENG","MF","Chelsea","0.0","0","1","1","100.0","90.00","90.00","0.00","0.00","7.2","0","0","0"
"Nikola Milenković","SRB","DF","Nott'ham Forest","37.0","5","29","8","27.6","0.78","0.22","0.17","0.63","11.6","0","0","0"
"Lewis Miley","ENG","MF","Newcastle Utd","3.5","1","3","2","66.7","0.86","0.58","0.33","0.50","14.6","0","0","0"
"James Milner","ENG","MF","Brighton","1.9","0","2","0","0.0","1.06","0.00","0.00","","16.0","0","0","0"
"Tyrone Mings","ENG","DF","Aston Villa","12.4","0","9","1","11.1","0.72","0.08","0.00","0.00","11.8","0","0","0"
"Yankuba Minteh","GAM","FW,MF","Brighton","20.4","6","34","16","47.1","1.66","0.78","0.18","0.38","13.8","0","0","0"
"Tyrick Mitchell","ENG","DF","Crystal Palace","34.4","0","12","3","25.0","0.35","0.09","0.00","0.00","12.8","0","0","0"
"Kaoru Mitoma","JPN","FW,MF","Brighton","28.9","10","57","27","47.4","1.97","0.93","0.18","0.37","13.9","0","0","0"
"Jakub Moder","POL","MF","Brighton","0.1","0","0","0","","0.00","0.00","","","","0","0","0"
"Jeremy Monga",NA,"FW,MF","Leicester City","1.2","0","3","1","33.3","2.41","0.80","0.00","0.00","19.8","0","0","0"
"Mikey Moore","ENG","FW","Tottenham","4.1","0","3","0","0.0","0.74","0.00","0.00","","19.5","0","0","0"
"Morato","BRA","DF","Nott'ham Forest","10.1","0","2","1","50.0","0.20","0.10","0.00","0.00","8.6","0","0","0"
"Álex Moreno","ESP","DF,MF","Nott'ham Forest","10.6","0","6","0","0.0","0.57","0.00","0.00","","23.7","0","0","0"
"Sam Morsy","EGY","MF","Ipswich Town","30.6","1","13","3","23.1","0.43","0.10","0.08","0.33","27.2","0","0","0"
"Yerson Mosquera","COL","DF","Wolves","4.9","0","2","0","0.0","0.41","0.00","0.00","","12.4","0","0","0"
"Mason Mount","ENG","MF","Manchester Utd","6.9","1","20","9","45.0","2.89","1.30","0.05","0.11","15.0","0","0","0"
"Divin Mubama","ENG","FW","Manchester City","0.3","0","1","0","0.0","3.21","0.00","0.00","","17.2","0","0","0"
